gene,essential,comment
H16_A0136,yes,
H16_A0169,yes,
H16_A0208,yes,
H16_A0230,yes,
H16_A0238,yes,
H16_A0239,yes,
H16_A0243,yes,
H16_A0244,yes,
H16_A0259,yes,
H16_A0262,yes,
H16_A0263,yes,
H16_A0332,yes,
H16_A0367,yes,
H16_A0372,yes,
H16_A0374,yes,
H16_A0445,yes,
H16_A0566,yes,
H16_A0568,yes,
H16_A0570,yes,
H16_A0603,yes,
H16_A0604,yes,
H16_A0606,yes,
H16_A0734,yes,
H16_A0746,yes,
H16_A0749,yes,
H16_A0753,yes,
H16_A0787,yes,
H16_A0791,yes,
H16_A0913,yes,
H16_A0914,yes,
H16_A0953,yes,
H16_A0999,yes,
H16_A1035,yes,
H16_A1038,yes,
H16_A1039,yes,
H16_A1047,yes,
H16_A1050,yes,
H16_A1051,yes,
H16_A1052,yes,
H16_A1053,yes,
H16_A1055,yes,
H16_A1056,yes,
H16_A1057,yes,
H16_A1058,yes,
H16_A1063,yes,
H16_A1132,yes,
H16_A1134,yes,
H16_A1185,yes,
H16_A1186,yes,
H16_A1188,yes,
H16_A1204,yes,
H16_A1214,yes,
H16_A1216,yes,
H16_A1217,yes,
H16_A1223,yes,
H16_A1225,yes,
H16_A1370,yes,
H16_A1452,yes,
H16_A1456,yes,
H16_A1457,yes,
H16_A1475,yes,
H16_A1547,yes,
H16_A1550,yes,
H16_A1569,yes,
H16_A1681,yes,
H16_A1682,yes,
H16_A1906,yes,
H16_A1973,yes,
H16_A2028,yes,
H16_A2030,yes,
H16_A2042,yes,
H16_A2043,yes,
H16_A2045,yes,
H16_A2049,yes,
H16_A2051,yes,
H16_A2053,yes,
H16_A2066,yes,
H16_A2069,yes,
H16_A2086,yes,
H16_A2265,yes,
H16_A2324,yes,
H16_A2325,yes,
H16_A2335,yes,
H16_A2345,yes,
H16_A2354,yes,
H16_A2364,yes,
H16_A2368,yes,
H16_A2403,yes,
H16_A2445,yes,
H16_A2446,yes,
H16_A2452,yes,
H16_A2454,yes,
H16_A2508,yes,
H16_A2525,yes,
H16_A2546,yes,
H16_A2552,yes,
H16_A2568,yes,
H16_A2611,yes,
H16_A2618,yes,
H16_A2627,yes,
H16_A2629,yes,
H16_A2630,yes,
H16_A2631,yes,
H16_A2632,yes,
H16_A2703,yes,
H16_A2704,yes,
H16_A2732,yes,
H16_A2744,yes,
H16_A2802,yes,
H16_A2834,yes,
H16_A2848,yes,
H16_A2849,yes,
H16_A2855,yes,
H16_A2883,yes,
H16_A2908,yes,
H16_A2913,yes,
H16_A2920,yes,
H16_A2925,yes,
H16_A2930,yes,
H16_A2959,yes,
H16_A3025,yes,
H16_A3045,yes,
H16_A3048,yes,
H16_A3049,yes,
H16_A3061,yes,
H16_A3063,yes,
H16_A3082,yes,
H16_A3106,yes,
H16_A3107,yes,
H16_A3124,yes,
H16_A3128,yes,
H16_A3141,yes,
H16_A3146,yes,
H16_A3147,yes,
H16_A3154,yes,
H16_A3171,yes,
H16_A3172,yes,
H16_A3234,yes,
H16_A3235,yes,
H16_A3249,yes,
H16_A3253,yes,
H16_A3258,yes,
H16_A3266,yes,
H16_A3271,yes,
H16_A3272,yes,
H16_A3273,yes,
H16_A3275,yes,
H16_A3276,yes,
H16_A3277,yes,
H16_A3278,yes,
H16_A3283,yes,
H16_A3317,yes,
H16_A3339,yes,
H16_A3414,yes,
H16_A3418,yes,
H16_A3443,yes,
H16_A3453,yes,
H16_A3633,yes,
H16_A3637,yes,
H16_A3638,yes,
H16_A3639,yes,
H16_A3640,yes,
H16_A3641,yes,
H16_A3642,yes,
H16_A3643,yes,
H16_B0357,yes,
H16_B0382,yes,
H16_B0420,yes,
H16_B0496,yes,
H16_B0811,yes,
H16_B0834,yes,
H16_B1395,yes,
H16_B1428,yes,
H16_B1769,yes,
H16_B1771,yes,
H16_B1817,yes,
H16_B2265,yes,
H16_B2266,yes,
H16_B2267,yes,
H16_B2531,yes,
H16_A0588,yes,
H16_A1425,yes,
H16_A1544,yes,
H16_A1922,yes,
H16_A1923,yes,
H16_A2050,yes,
H16_A2410,yes,
H16_A2565,yes,
H16_A2567,yes,
H16_A2569,yes,
H16_A2570,yes,
H16_A3241,yes,
H16_A3279,yes,
H16_A3491,yes,
H16_A3501,yes,
H16_A3505,yes,
H16_B0601,yes,
H16_B1287,yes,
H16_B1361,yes,
H16_B1461,yes,
H16_B1896,yes,
H16_A0569,no,
H16_A0571,no,
H16_A0624,no,
H16_A0865,no,
H16_A1259,no,
H16_A1266,no,
H16_A1375,no,
H16_A1715,no,
H16_A1719,no,
H16_A1809,no,
H16_A1963,no,
H16_A1967,no,
H16_A2209,no,
H16_A2266,no,
H16_A2528,no,
H16_A2859,no,
H16_A2871,no,
H16_A2906,no,
H16_A2909,no,
H16_A3250,no,
H16_A3636,no,
H16_B0072,no,
H16_B0550,no,
H16_B0662,no,
H16_B0680,no,
H16_B0968,no,
H16_B1004,no,
H16_B1063,no,
H16_B1179,no,
H16_B1388,no,
H16_B1391,no,
H16_B1418,no,
H16_B1475,no,
H16_B1558,no,
H16_B1642,no,
H16_B1841,no,
H16_A0610,no,
H16_A1767,no,
H16_A1793,no,
H16_A2044,no,
H16_B1360,no,
H16_B1362,no,
H16_B1799,no,
PHG272,no,
H16_A0037,no,
H16_A0038,no,
H16_A0042,no,
H16_A0044,no,
H16_A0065,no,
H16_A0068,no,
H16_A0100,no,
H16_A0124,no,
H16_A0125,no,
H16_A0142,no,
H16_A0143,no,
H16_A0150,no,
H16_A0151,no,
H16_A0167,no,
H16_A0170,no,
H16_A0172,no,
H16_A0174,no,
H16_A0179,no,
H16_A0180,no,
H16_A0181,no,
H16_A0182,no,
H16_A0183,no,
H16_A0185,no,
H16_A0186,no,
H16_A0190,no,
H16_A0211,yes,
H16_A0220,no,
H16_A0224,no,
H16_A0227,no,
H16_A0228,no,
H16_A0229,no,
H16_A0232,no,
H16_A0246,yes,
H16_A0249,no,
H16_A0269,no,
H16_A0272,no,
H16_A0273,no,
H16_A0274,no,
H16_A0280,no,
H16_A0282,no,
H16_A0291,no,
H16_A0314,no,
H16_A0315,no,
H16_A0316,no,
H16_A0322,no,
H16_A0323,no,
H16_A0336,yes,
H16_A0352,yes,
H16_A0361,no,
H16_A0362,no,
H16_A0369,no,
H16_A0395,no,
H16_A0427,yes,
H16_A0428,no,
H16_A0430,no,
H16_A0461,no,
H16_A0462,no,
H16_A0464,no,
H16_A0471,no,
H16_A0479,no,
H16_A0493,no,
H16_A0499,no,
H16_A0501,no,
H16_A0513,no,
H16_A0517,no,
H16_A0519,no,
H16_A0520,no,
H16_A0535,no,
H16_A0547,no,
H16_A0548,no,
H16_A0561,no,
H16_A0567,no,
H16_A0597,no,
H16_A0602,no,
H16_A0615,no,
H16_A0633,no,
H16_A0640,yes,
H16_A0641,yes,
H16_A0642,yes,
H16_A0644,yes,
H16_A0666,no,
H16_A0670,no,
H16_A0674,no,
H16_A0689,no,
H16_A0695,no,
H16_A0745,no,
H16_A0757,no,
H16_A0767,no,
H16_A0782,no,
H16_A0784,no,
H16_A0792,yes,
H16_A0793,no,
H16_A0794,no,
H16_A0795,yes,
H16_A0797,no,
H16_A0802,no,
H16_A0807,no,
H16_A0810,no,
H16_A0827,no,
H16_A0831,no,
H16_A0845,no,
H16_A0850,no,
H16_A0851,no,
H16_A0852,no,
H16_A0856,no,
H16_A0861,no,
H16_A0866,no,
H16_A0867,no,
H16_A0868,no,
H16_A0871,no,
H16_A0872,no,
H16_A0873,no,
H16_A0893,no,
H16_A0915,no,
H16_A0918,no,
H16_A0922,no,
H16_A0923,no,
H16_A0926,no,
H16_A0932,no,
H16_A0955,no,
H16_A1000,no,
H16_A1013,no,
H16_A1014,no,
H16_A1016,no,
H16_A1017,no,
H16_A1036,no,
H16_A1037,yes,
H16_A1041,no,
H16_A1060,no,
H16_A1081,yes,
H16_A1083,no,
H16_A1084,no,
H16_A1098,no,
H16_A1101,no,
H16_A1102,no,
H16_A1109,no,
H16_A1113,no,
H16_A1114,no,
H16_A1122,no,
H16_A1125,no,
H16_A1150,no,
H16_A1151,yes,
H16_A1178,yes,
H16_A1179,no,
H16_A1197,no,
H16_A1199,no,
H16_A1229,no,
H16_A1230,no,
H16_A1235,no,
H16_A1236,no,
H16_A1237,no,
H16_A1239,no,
H16_A1251,no,
H16_A1256,no,
H16_A1258,no,
H16_A1264,no,
H16_A1265,no,
H16_A1282,no,
H16_A1290,no,
H16_A1291,no,
H16_A1297,no,
H16_A1306,no,
H16_A1313,no,
H16_A1317,yes,
H16_A1322,no,
H16_A1331,no,
H16_A1332,no,
H16_A1334,no,
H16_A1337,no,
H16_A1356,no,
H16_A1363,no,
H16_A1374,yes,
H16_A1377,no,
H16_A1394,no,
H16_A1404,no,
H16_A1410,no,
H16_A1412,no,
H16_A1437,no,
H16_A1438,no,
H16_A1439,no,
H16_A1445,no,
H16_A1447,no,
H16_A1454,no,
H16_A1465,no,
H16_A1469,no,
H16_A1495,no,
H16_A1502,no,
H16_A1509,no,
H16_A1511,yes,
H16_A1519,no,
H16_A1527,no,
H16_A1528,no,
H16_A1529,no,
H16_A1549,no,
H16_A1553,no,
H16_A1558,no,
H16_A1562,no,
H16_A1603,no,
H16_A1616,no,
H16_A1639,no,
H16_A1656,no,
H16_A1694,no,
H16_A1699,no,
H16_A1700,no,
H16_A1713,no,
H16_A1716,no,
H16_A1718,no,
H16_A1720,no,
H16_A1732,no,
H16_A1734,no,
H16_A1736,no,
H16_A1753,no,
H16_A1772,no,
H16_A1779,no,
H16_A1785,no,
H16_A1786,no,
H16_A1791,no,
H16_A1806,no,
H16_A1807,no,
H16_A1814,no,
H16_A1828,no,
H16_A1832,no,
H16_A1840,no,
H16_A1847,no,
H16_A1848,no,
H16_A1850,no,
H16_A1851,no,
H16_A1854,no,
H16_A1864,no,
H16_A1885,no,
H16_A1887,no,
H16_A1889,no,
H16_A1903,no,
H16_A1905,no,
H16_A1907,no,
H16_A1909,no,
H16_A1910,no,
H16_A1919,no,
H16_A1924,no,
H16_A1934,no,
H16_A1949,no,
H16_A1960,no,
H16_A1961,no,
H16_A1962,no,
H16_A1964,no,
H16_A1966,no,
H16_A1968,no,
H16_A1971,no,
H16_A1972,no,
H16_A1975,no,
H16_A1980,no,
H16_A2002,no,
H16_A2003,no,
H16_A2009,no,
H16_A2012,no,
H16_A2038,no,
H16_A2065,no,
H16_A2078,no,
H16_A2088,no,
H16_A2102,no,
H16_A2113,no,
H16_A2132,no,
H16_A2138,no,
H16_A2142,no,
H16_A2144,no,
H16_A2148,no,
H16_A2171,no,
H16_A2179,no,
H16_A2182,no,
H16_A2183,no,
H16_A2204,no,
H16_A2211,no,
H16_A2217,no,
H16_A2227,no,
H16_A2231,no,
H16_A2251,no,
H16_A2252,no,
H16_A2258,no,
H16_A2280,no,
H16_A2323,no,
H16_A2326,no,
H16_A2343,no,
H16_A2346,no,
H16_A2352,no,
H16_A2376,no,
H16_A2385,no,
H16_A2390,no,
H16_A2422,no,
H16_A2457,no,
H16_A2460,no,
H16_A2461,no,
H16_A2462,no,
H16_A2464,no,
H16_A2505,no,
H16_A2507,no,
H16_A2521,no,
H16_A2589,no,
H16_A2592,no,
H16_A2607,yes,
H16_A2612,no,
H16_A2614,no,
H16_A2615,no,
H16_A2619,yes,
H16_A2620,yes,
H16_A2621,yes,
H16_A2634,no,
H16_A2635,no,
H16_A2636,no,
H16_A2638,no,
H16_A2643,no,
H16_A2647,no,
H16_A2718,no,
H16_A2731,no,
H16_A2733,no,
H16_A2747,no,
H16_A2752,no,
H16_A2758,no,
H16_A2761,no,
H16_A2762,no,
H16_A2763,no,
H16_A2777,no,
H16_A2780,no,
H16_A2794,no,
H16_A2807,no,
H16_A2815,no,
H16_A2816,no,
H16_A2818,no,
H16_A2854,no,
H16_A2860,no,
H16_A2862,no,
H16_A2885,no,
H16_A2891,no,
H16_A2893,no,
H16_A2900,no,
H16_A2905,no,
H16_A2907,no,
H16_A2911,no,
H16_A2912,yes,
H16_A2914,no,
H16_A2919,no,
H16_A2921,yes,
H16_A2931,no,
H16_A2961,no,
H16_A2962,no,
H16_A2963,no,
H16_A2964,no,
H16_A2966,no,
H16_A2967,no,
H16_A2968,no,
H16_A2969,no,
H16_A2979,no,
H16_A2981,no,
H16_A2987,no,
H16_A2994,yes,
H16_A2995,yes,
H16_A2996,yes,
H16_A2997,no,
H16_A2999,yes,
H16_A3005,no,
H16_A3009,no,
H16_A3012,no,
H16_A3013,no,
H16_A3014,no,
H16_A3015,no,
H16_A3017,no,
H16_A3018,no,
H16_A3031,no,
H16_A3036,no,
H16_A3037,no,
H16_A3038,no,
H16_A3042,no,
H16_A3056,no,
H16_A3057,no,
H16_A3075,no,
H16_A3077,no,
H16_A3084,yes,
H16_A3087,no,
H16_A3090,no,
H16_A3091,no,
H16_A3094,no,
H16_A3109,no,
H16_A3129,no,
H16_A3130,no,
H16_A3131,no,
H16_A3136,no,
H16_A3153,yes,
H16_A3155,no,
H16_A3157,no,
H16_A3161,yes,
H16_A3165,no,
H16_A3170,yes,
H16_A3186,no,
H16_A3201,no,
H16_A3236,no,
H16_A3242,no,
H16_A3263,no,
H16_A3307,no,
H16_A3311,no,
H16_A3313,no,
H16_A3318,no,
H16_A3319,yes,
H16_A3320,no,
H16_A3321,no,
H16_A3322,no,
H16_A3330,no,
H16_A3337,no,
H16_A3348,no,
H16_A3386,no,
H16_A3406,no,
H16_A3408,no,
H16_A3409,no,
H16_A3410,no,
H16_A3411,no,
H16_A3412,yes,
H16_A3415,no,
H16_A3416,no,
H16_A3417,no,
H16_A3430,no,
H16_A3431,no,
H16_A3433,no,
H16_A3434,yes,
H16_A3435,yes,
H16_A3551,no,
H16_A3578,no,
H16_A3582,no,
H16_A3593,no,
H16_A3594,no,
H16_A3598,no,
H16_A3599,no,
H16_A3600,no,
H16_A3601,no,
H16_A3602,no,
H16_A3622,no,
H16_A3631,no,
H16_A3649,no,
H16_A3664,no,
H16_A3673,no,
H16_A3678,no,
H16_A3711,no,
H16_A3712,no,
H16_A3724,no,
H16_B0034,no,
H16_B0046,no,
H16_B0051,no,
H16_B0052,no,
H16_B0070,no,
H16_B0081,no,
H16_B0096,no,
H16_B0097,no,
H16_B0103,no,
H16_B0127,no,
H16_B0131,no,
H16_B0144,no,
H16_B0145,no,
H16_B0146,no,
H16_B0174,no,
H16_B0198,no,
H16_B0199,no,
H16_B0200,no,
H16_B0208,no,
H16_B0212,no,
H16_B0213,no,
H16_B0216,no,
H16_B0226,no,
H16_B0278,no,
H16_B0280,no,
H16_B0283,no,
H16_B0287,no,
H16_B0295,no,
H16_B0301,no,
H16_B0313,no,
H16_B0319,no,
H16_B0321,no,
H16_B0324,no,
H16_B0330,no,
H16_B0334,no,
H16_B0337,no,
H16_B0339,no,
H16_B0345,no,
H16_B0347,no,
H16_B0353,no,
H16_B0355,no,
H16_B0365,no,
H16_B0367,no,
H16_B0371,no,
H16_B0372,no,
H16_B0376,no,
H16_B0380,no,
H16_B0381,no,
H16_B0386,no,
H16_B0388,no,
H16_B0389,no,
H16_B0400,no,
H16_B0402,no,
H16_B0406,no,
H16_B0414,no,
H16_B0419,no,
H16_B0421,no,
H16_B0422,no,
H16_B0449,no,
H16_B0459,no,
H16_B0460,no,
H16_B0465,no,
H16_B0466,no,
H16_B0473,no,
H16_B0476,no,
H16_B0495,no,
H16_B0517,no,
H16_B0536,no,
H16_B0539,no,
H16_B0540,no,
H16_B0541,no,
H16_B0542,no,
H16_B0543,no,
H16_B0544,no,
H16_B0546,no,
H16_B0547,no,
H16_B0548,no,
H16_B0549,no,
H16_B0551,no,
H16_B0552,no,
H16_B0560,no,
H16_B0568,no,
H16_B0572,no,
H16_B0591,no,
H16_B0594,no,
H16_B0595,no,
H16_B0596,no,
H16_B0597,no,
H16_B0600,no,
H16_B0611,no,
H16_B0612,no,
H16_B0618,no,
H16_B0626,no,
H16_B0627,no,
H16_B0632,yes,
H16_B0654,no,
H16_B0655,no,
H16_B0656,no,
H16_B0657,no,
H16_B0659,no,
H16_B0668,no,
H16_B0671,no,
H16_B0681,no,
H16_B0696,no,
H16_B0698,no,
H16_B0724,no,
H16_B0737,no,
H16_B0750,no,
H16_B0756,no,
H16_B0759,no,
H16_B0760,no,
H16_B0778,no,
H16_B0779,no,
H16_B0795,no,
H16_B0819,no,
H16_B0824,no,
H16_B0833,no,
H16_B0841,no,
H16_B0842,no,
H16_B0847,no,
H16_B0848,no,
H16_B0862,no,
H16_B0873,no,
H16_B0875,no,
H16_B0876,no,
H16_B0884,no,
H16_B0891,no,
H16_B0914,no,
H16_B0915,no,
H16_B0917,no,
H16_B0928,no,
H16_B0961,no,
H16_B0965,no,
H16_B0970,no,
H16_B0981,no,
H16_B0982,no,
H16_B0984,no,
H16_B1014,no,
H16_B1016,no,
H16_B1034,no,
H16_B1047,no,
H16_B1076,no,
H16_B1081,no,
H16_B1083,no,
H16_B1092,no,
H16_B1098,no,
H16_B1102,no,
H16_B1143,no,
H16_B1148,no,
H16_B1152,no,
H16_B1172,no,
H16_B1180,no,
H16_B1188,no,
H16_B1190,no,
H16_B1191,no,
H16_B1195,no,
H16_B1198,no,
H16_B1199,no,
H16_B1212,no,
H16_B1213,yes,
H16_B1223,no,
H16_B1238,no,
H16_B1241,no,
H16_B1250,no,
H16_B1255,no,
H16_B1264,no,
H16_B1300,no,
H16_B1346,no,
H16_B1357,no,
H16_B1358,no,
H16_B1365,no,
H16_B1369,no,
H16_B1384,no,
H16_B1385,no,
H16_B1386,no,
H16_B1387,no,
H16_B1389,no,
H16_B1390,no,
H16_B1394,no,
H16_B1399,no,
H16_B1422,no,
H16_B1433,no,
H16_B1436,no,
H16_B1438,yes,
H16_B1439,no,
H16_B1441,no,
H16_B1444,no,
H16_B1452,no,
H16_B1453,no,
H16_B1454,no,
H16_B1480,no,
H16_B1501,no,
H16_B1502,no,
H16_B1503,no,
H16_B1533,no,
H16_B1534,no,
H16_B1537,no,
H16_B1561,no,
H16_B1564,no,
H16_B1576,no,
H16_B1581,yes,
H16_B1583,no,
H16_B1584,no,
H16_B1593,no,
H16_B1595,no,
H16_B1630,no,
H16_B1631,no,
H16_B1652,no,
H16_B1657,no,
H16_B1662,no,
H16_B1670,no,
H16_B1671,no,
H16_B1693,no,
H16_B1695,no,
H16_B1699,no,
H16_B1700,no,
H16_B1701,no,
H16_B1709,no,
H16_B1714,no,
H16_B1715,no,
H16_B1719,no,
H16_B1735,no,
H16_B1738,no,
H16_B1741,no,
H16_B1742,no,
H16_B1745,no,
H16_B1750,no,
H16_B1751,no,
H16_B1758,no,
H16_B1773,no,
H16_B1813,no,
H16_B1819,no,
H16_B1831,no,
H16_B1834,no,
H16_B1835,no,
H16_B1842,no,
H16_B1843,no,
H16_B1870,no,
H16_B1871,no,
H16_B1874,no,
H16_B1881,no,
H16_B1897,no,
H16_B1898,no,
H16_B1905,no,
H16_B1914,no,
H16_B1918,no,
H16_B1931,no,
H16_B1939,no,
H16_B1945,no,
H16_B1956,no,
H16_B1960,no,
H16_B1967,no,
H16_B1994,no,
H16_B1997,no,
H16_B2013,no,
H16_B2014,no,
H16_B2057,no,
H16_B2069,no,
H16_B2073,no,
H16_B2096,no,
H16_B2113,no,
H16_B2126,no,
H16_B2130,no,
H16_B2135,no,
H16_B2156,no,
H16_B2162,no,
H16_B2168,no,
H16_B2169,no,
H16_B2191,no,
H16_B2192,no,
H16_B2193,no,
H16_B2194,no,
H16_B2211,no,
H16_B2220,no,
H16_B2227,no,
H16_B2229,no,
H16_B2234,no,
H16_B2255,no,
H16_B2268,no,
H16_B2270,no,
H16_B2275,no,
H16_B2276,no,
H16_B2277,no,
H16_B2285,no,
H16_B2286,no,
H16_B2288,no,
H16_B2289,no,
H16_B2290,yes,
H16_B2291,no,
H16_B2323,no,
H16_B2378,no,
H16_B2401,no,
H16_B2403,no,
H16_B2421,no,
H16_B2438,no,
H16_B2444,no,
H16_B2446,no,
H16_B2452,no,
H16_B2453,no,
H16_B2455,no,
H16_B2459,no,
H16_B2460,no,
H16_B2470,no,
H16_B2478,no,
H16_B2494,no,
H16_B2500,no,
H16_B2521,no,
H16_B2522,no,
H16_B2534,no,
H16_B2564,no,
H16_B2565,yes,
H16_B2566,no,
H16_B2567,no,
PHG200,no,
PHG252,no,
PHG416,no,
PHG417,no,
PHG418,no,
PHG419,no,
PHG420,no,
PHG421,no,
PHG422,no,
PHG423,no,
PHG426,no,
PHG427,no,
H16_A0043,no,
H16_A0062,no,
H16_A0066,no,
H16_A0067,no,
H16_A0069,no,
H16_A0072,no,
H16_A0092,no,
H16_A0176,no,
H16_A0209,no,
H16_A0250,no,
H16_A0252,no,
H16_A0281,no,
H16_A0285,no,
H16_A0302,no,
H16_A0304,no,
H16_A0317,no,
H16_A0339,no,
H16_A0342,no,
H16_A0343,no,
H16_A0345,no,
H16_A0347,no,
H16_A0378,no,
H16_A0394,no,
H16_A0399,no,
H16_A0426,no,
H16_A0429,no,
H16_A0431,no,
H16_A0434,no,
H16_A0455,no,
H16_A0465,no,
H16_A0486,no,
H16_A0488,no,
H16_A0498,no,
H16_A0534,no,
H16_A0575,no,
H16_A0617,no,
H16_A0643,no,
H16_A0743,no,
H16_A0832,no,
H16_A0839,no,
H16_A0840,no,
H16_A0860,no,
H16_A0898,no,
H16_A0920,no,
H16_A0921,no,
H16_A0924,no,
H16_A0925,no,
H16_A0947,no,
H16_A1025,no,
H16_A1028,no,
H16_A1065,no,
H16_A1071,no,
H16_A1072,no,
H16_A1073,no,
H16_A1074,no,
H16_A1090,no,
H16_A1100,no,
H16_A1103,no,
H16_A1117,no,
H16_A1158,no,
H16_A1192,no,
H16_A1231,no,
H16_A1287,no,
H16_A1295,no,
H16_A1312,no,
H16_A1324,no,
H16_A1335,no,
H16_A1358,no,
H16_A1386,no,
H16_A1408,no,
H16_A1409,no,
H16_A1434,no,
H16_A1466,no,
H16_A1494,no,
H16_A1500,no,
H16_A1526,no,
H16_A1531,no,
H16_A1535,no,
H16_A1560,no,
H16_A1591,no,
H16_A1602,no,
H16_A1627,no,
H16_A1630,no,
H16_A1640,no,
H16_A1641,no,
H16_A1642,no,
H16_A1643,no,
H16_A1648,no,
H16_A1676,no,
H16_A1696,no,
H16_A1721,no,
H16_A1801,no,
H16_A1892,no,
H16_A1917,no,
H16_A1953,no,
H16_A1974,no,
H16_A2018,no,
H16_A2058,no,
H16_A2068,no,
H16_A2076,no,
H16_A2089,no,
H16_A2092,no,
H16_A2106,no,
H16_A2109,no,
H16_A2145,no,
H16_A2150,no,
H16_A2163,no,
H16_A2197,no,
H16_A2200,no,
H16_A2201,no,
H16_A2214,no,
H16_A2244,no,
H16_A2267,no,
H16_A2291,no,
H16_A2293,no,
H16_A2316,yes,
H16_A2317,no,
H16_A2318,yes,
H16_A2319,yes,
H16_A2339,no,
H16_A2358,no,
H16_A2459,no,
H16_A2480,no,
H16_A2496,no,
H16_A2506,no,
H16_A2550,no,
H16_A2578,no,
H16_A2663,no,
H16_A2713,no,
H16_A2722,no,
H16_A2740,no,
H16_A2748,no,
H16_A2764,no,
H16_A2861,no,
H16_A2863,no,
H16_A2910,no,
H16_A2917,no,
H16_A2947,no,
H16_A3004,no,
H16_A3010,no,
H16_A3050,no,
H16_A3073,no,
H16_A3083,no,
H16_A3102,no,
H16_A3125,no,
H16_A3261,no,
H16_A3288,no,
H16_A3345,no,
H16_A3346,no,
H16_A3351,no,
H16_A3396,yes,
H16_A3397,yes,
H16_A3398,yes,
H16_A3444,no,
H16_A3445,no,
H16_A3485,no,
H16_A3514,no,
H16_A3520,no,
H16_A3521,no,
H16_A3522,no,
H16_A3523,no,
H16_A3524,no,
H16_A3547,no,
H16_A3549,no,
H16_A3561,no,
H16_A3563,no,
H16_A3572,no,
H16_A3585,no,
H16_A3589,no,
H16_A3615,no,
H16_A3644,no,
H16_A3666,no,
H16_A3679,no,
H16_A3740,no,
H16_B0038,no,
H16_B0048,no,
H16_B0062,no,
H16_B0089,no,
H16_B0102,no,
H16_B0130,no,
H16_B0132,no,
H16_B0136,no,
H16_B0148,no,
H16_B0299,no,
H16_B0322,no,
H16_B0348,no,
H16_B0358,no,
H16_B0361,no,
H16_B0370,no,
H16_B0378,no,
H16_B0385,no,
H16_B0390,no,
H16_B0404,no,
H16_B0411,no,
H16_B0424,no,
H16_B0432,no,
H16_B0447,no,
H16_B0451,no,
H16_B0464,no,
H16_B0494,no,
H16_B0522,no,
H16_B0526,no,
H16_B0529,no,
H16_B0558,no,
H16_B0571,no,
H16_B0602,no,
H16_B0609,no,
H16_B0616,no,
H16_B0620,no,
H16_B0642,no,
H16_B0644,no,
H16_B0648,no,
H16_B0649,no,
H16_B0673,no,
H16_B0682,no,
H16_B0688,no,
H16_B0707,no,
H16_B0714,no,
H16_B0736,no,
H16_B0739,no,
H16_B0743,no,
H16_B0744,no,
H16_B0746,no,
H16_B0753,no,
H16_B0764,no,
H16_B0802,no,
H16_B0812,no,
H16_B0813,no,
H16_B0820,no,
H16_B0836,no,
H16_B0860,no,
H16_B0883,no,
H16_B0907,no,
H16_B0946,no,
H16_B0974,no,
H16_B0987,no,
H16_B0990,no,
H16_B1017,no,
H16_B1025,no,
H16_B1026,no,
H16_B1027,no,
H16_B1075,no,
H16_B1110,no,
H16_B1122,no,
H16_B1142,no,
H16_B1155,no,
H16_B1170,no,
H16_B1176,no,
H16_B1177,no,
H16_B1189,no,
H16_B1236,no,
H16_B1239,no,
H16_B1359,no,
H16_B1363,no,
H16_B1368,no,
H16_B1372,no,
H16_B1398,no,
H16_B1412,no,
H16_B1449,no,
H16_B1462,no,
H16_B1515,no,
H16_B1522,no,
H16_B1560,no,
H16_B1606,no,
H16_B1629,no,
H16_B1664,no,
H16_B1667,no,
H16_B1669,no,
H16_B1711,no,
H16_B1712,no,
H16_B1716,no,
H16_B1717,no,
H16_B1736,no,
H16_B1740,no,
H16_B1748,no,
H16_B1749,no,
H16_B1756,no,
H16_B1765,no,
H16_B1812,no,
H16_B1818,no,
H16_B1840,no,
H16_B1863,no,
H16_B1865,no,
H16_B1879,no,
H16_B1904,no,
H16_B1917,no,
H16_B1948,no,
H16_B1953,no,
H16_B2003,no,
H16_B2058,no,
H16_B2059,no,
H16_B2060,no,
H16_B2061,no,
H16_B2062,no,
H16_B2114,no,
H16_B2159,no,
H16_B2160,no,
H16_B2161,no,
H16_B2164,no,
H16_B2206,no,
H16_B2210,no,
H16_B2222,no,
H16_B2228,no,
H16_B2271,no,
H16_B2307,no,
H16_B2317,no,
H16_B2376,no,
H16_B2440,no,
H16_B2471,no,
H16_B2480,no,
H16_B2482,no,
H16_B2493,no,
H16_B2496,no,
H16_B2498,no,
H16_B2510,yes,
H16_B2514,no,
H16_B2532,no,
PHG001,no,
PHG002,no,
PHG003,no,
PHG074,no,
PHG088,no,
PHG089,no,
PHG090,no,
PHG091,no,
PHG120,no,
PHG121,no,
PHG178,no,
PHG211,no,
PHG212,no,
PHG213,no,
PHG229,no,
PHG232,no,
PHG240,no,
PHG244,no,
PHG261,no,
PHG270,no,
PHG271,no,
PHG273,no,
PHG279,no,
PHG384,no,
PHG385,no,
PHG394,no,
PHG398,no,
PHG399,no,
PHG404,no,
PHG405,no,